paleto, -445.109, 6014.523, 31.716, 315.686
paleto2, -380.983, 6119.580, 31.480, 45.647
northeast, 1482.046, 6400.430, 22.607, 346.025
grapeseedairfield, 2102.265, 4751.670, 41.167, 179.954
sandyshoreshospital, 1839.663, 3671.769, 34.277, 213.725
zancudo, -2112.078, 2835.999, 32.810, 23.524
zancudo2, -1578.554, 2778.459, 17.049, 225.640
zancudo3, -2327.137, 3409.150, 30.340, 46.336
chumash, -3142.749, 1065.532, 20.529, 260.307
graveyard, -1728.345, -193.030, 58.488, 98.752
church1, -1684.883, -292.641, 51.891, 159.441
delperropd, -1092.335, -809.307, 19.273, 40.188
pierpd, -1630.195, -1014.937, 13.125, 322.800
beachpd, -1313.431, -1527.586, 4.417, 231.203
beachrescue, -1177.507, -1776.124, 3.9, 304.886
vinewoodhills, 373.122, 783.715, 186.232, 203.602
vinewoodpd, 645.691, -5.799, 82.756, 226.818
vinewoodchurch, -765.807, -25.565, 41.079, 209.865
vinewoodfd, -661.058, -75.155, 38.600, 32.203
mainpd, -556.270, -132.624, 38.135, 199.890
mtzonahospital, -448.619, -341.050, 34.502, 83.735
winwangchurch, -763.258, -730.212, 27.861, 270.759
strawberryhospital, 318.223, -1385.381, 31.910, 52.635
strawberryfd, 200.181, -1633.314, 29.803, -38.815
strawberrypd, 359.521, -1582.298, 29.292, 319.731
strawberrychurch, 21.003, -1506.993, 31.850, -38.739
fib, 118.330, -757.211, 45.75, 70.433
pillbox, 297.324, -583.344, 43.135, 44.152
pillbox2, 357.793, -598.497, 28.630, -136.759
mesapd, 825.197, -1289.482, 28.241, 86.741
prison, 1848.456, 2586.007, 45.672, 270.177
docks0, 1153.274, -3105.514, 5.974, 89.631
docks1, 1091.930, -3342.214, 6.186, 85.394
docks2, 756.508, -3053.124, 6.372, 275.215
docks3, 571.155, -2567.924, 6.681, 45.282
elysian1, 16.262, -2536.717, 6.146, 235.619
strawberry2, 177.659, -2028.706, 18.306, 175.633
farsouth1, -1027.255, -1534.131, 5.171, 124.304
farsouth2, -1093.384, -1595.414, 4.540, 300.417
farsouth3, -1063.409, -1705.01, 4.522144, 45.86118
farsouth4, -986.4783, -1633.353, 4.979149, 44.26054
farsouth5, -910.3057, -1559.379, 5.169701, 53.81308
