paleto, -445.109, 6014.523, 31.716, 315.686
paleto2, -380.983, 6119.580, 31.480, 45.647
northeast, 1482.046, 6400.430, 22.607, 346.025
grapeseedairfield, 2102.265, 4751.670, 41.167, 179.954
sandyshoreshospital, 1839.663, 3671.769, 34.277, 213.725
zancudo, -2112.078, 2835.999, 32.810, 23.524
zancudo2, -1578.554, 2778.459, 17.049, 225.640
zancudo3, -2327.137, 3409.150, 30.340, 46.336
chumash, -3142.749, 1065.532, 20.529, 260.307
graveyard, -1728.345, -193.030, 58.488, 98.752
church1, -1684.883, -292.641, 51.891, 159.441
delperropd, -1092.335, -809.307, 19.273, 40.188
pierpd, -1630.195, -1014.937, 13.125, 322.800
beachpd, -1313.431, -1527.586, 4.417, 231.203
beachrescue, -1177.507, -1776.124, 3.9, 304.886
vinewoodhills, 373.122, 783.715, 186.232, 203.602
vinewoodpd, 645.691, -5.799, 82.756, 226.818
vinewoodchurch, -765.807, -25.565, 41.079, 209.865
vinewoodfd, -661.058, -75.155, 38.600, 32.203
mainpd, -556.270, -132.624, 38.135, 199.890
mtzonahospital, -448.619, -341.050, 34.502, 83.735
winwangchurch, -763.258, -730.212, 27.861, 270.759
strawberryhospital, 318.223, -1385.381, 31.910, 52.635
strawberryfd, 200.181, -1633.314, 29.803, -38.815
strawberrypd, 359.521, -1582.298, 29.292, 319.731
strawberrychurch, 21.003, -1506.993, 31.850, -38.739
fib, 118.330, -757.211, 45.75, 70.433
pillbox, 297.324, -583.344, 43.135, 44.152
pillbox2, 357.793, -598.497, 28.630, -136.759
mesapd, 825.197, -1289.482, 28.241, 86.741
prison, 1848.456, 2586.007, 45.672, 270.177
docks0, 1153.274, -3105.514, 5.974, 89.631
docks1, 1091.930, -3342.214, 6.186, 85.394
docks2, 756.508, -3053.124, 6.372, 275.215
docks3, 571.155, -2567.924, 6.681, 45.282
elysian1, 16.262, -2536.717, 6.146, 235.619
strawberry2, 177.659, -2028.706, 18.306, 175.633
farsouth1, -1027.255, -1534.131, 5.171, 124.304
farstouh2, -1093.384, -1595.414, 4.540, 300.417
fish, -1039.013, -1395.954, 5.553, 73.659
southbumpy, -933.708, -1238.761, 5.886, 28.474
binco1, -801.934, -1163.737, 8.522, 50.823
binco2, -786.855, -1046.042, 12.724, 116.687
marinaparking, -783.572, -1352.732, 9.000, 180.472
noodles, -637.468, -1250.529, 11.810, 171.783
pegahelienterance, -663.125, -1371.691, 10.616, 267.845
pegaheliroad, -715.156, -1518.842, 12.766, 247.801
canalenterance, -878.237, -1726.038, 19.084, 228.221
lsialscustoms, -1102.065, -1958.764, 13.123, 251.964
lsiamainenterance, -1037.002, -2735.216, 13.757, 326.441
lsiagates1, -922.775, -2739.460, 13.726, 34.743
piersign, -1599.733, -1056.675, 13.017, 48.677
pierhalf, -1727.933, -1124.981, 13.029, 50.634
pierend, -1832.419, -1204.494, 14.305, 153.543
pierenterance, -1444.669, -779.259, 23.606, 316.766
bluefencebeach, -1751.590, -735.010, 10.232, 148.522
casinobridge, 695.945, -14.415, 84.112, 327.534
casinobridge2, 819.219, -47.832, 80.590, 146.481
racetrack1, 1035.279, -47.357, 75.513, 34.410
racetrack2, 1105.670, 87.457, 80.890, 331.842
racetrack3, 1256.631, 317.748, 85.991, 152.639
racetrack4, 1113.990, 230.569, 80.991, 323.858
racetrack5, 980.726, 114.718, 80.991, 54.455
racetrack6, 1012.534, 171.986, 80.991, 146.902
casino2, 836.132, -138.385, 77.744, 236.205
casino3, 746.197, -161.830, 74.840, 324.912
casino4, 910.893, -267.248, 68.721, 326.535
stormdrain mirrorpark, 1002.875, -292.183, 67.116, 150.611
stormdrain mirrorpark2, 1070.326, -373.613, 67.150, 285.366
ltd mirrorpark, 1168.287, -325.782, 69.277, 190.027
stormdrain lake, 1118.486, -223.529, 69.087, 156.368
hornies burger, 1240.635, -368.545, 69.082, 166.452
mirror park, 1139.176, -473.685, 66.526, 259.984
mirror park2, 1117.152, -528.938, 63.338, 321.918
Pier entrance, -1446.818, -779.5809, 23.7158, 323.1416
Pier entrance 2, -1396.651, -765.871, 21.17381, 136.5221
Pier entrance 3, -1413.034, -743.1502, 23.42163, 78.38717
Pier entrance 4, -1464.081, -704.3351, 26.78378, 141.2788
Main road 1, -1531.556, -701.4777, 28.58789, 317.653
Main road 2, -1564.943, -674.0406, 28.86472, 316.7205
Main road 3, -1657.936, -602.0497, 33.63132, 320.5311
Main road 4, -1708.405, -563.6652, 36.60192, 2.104596
Richards majestic, -956.188, -371.1382, 41.93451, 294.0456
Life Invader, -1076.231, -250.5953, 37.76332, 116.1987
Life invader 2, -1019.645, -224.1951, 37.9469, 293.8107
Life invader 3, -989.3627, -240.3359, 37.7282, 359.9756
Mile high construction, -130.2534, -944.6113, 29.29191, 244.3981
Maze bank, -50.02414, -797.6807, 44.2251, 338.9465
Town hall, 243.2539, -392.4099, 46.30569, 342.236
